단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2022-01-01 02:29:00,40000,중곡동,서울특별시 광진구 영화사로5길 19,교통소통장애,미견인
2022-01-01 06:41:00,80000,중곡동,150-196,소화전,미견인
2022-01-01 07:02:00,40000,구의동,서울 광진구 구의동 660-1 주차장앞,교통소통장애,미견인
2022-01-01 07:29:00,40000,구의동,서울 광진구 구의동 6-4,횡단보도,견인처리
2022-01-01 10:55:00,40000,구의동,리젠트오피스텔건너편,안전지대,미견인
2022-01-01 11:41:00,40000,구의동,서울 광진구 구의동 34-14,교통소통장애,미견인
2022-01-01 11:47:00,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인
2022-01-01 11:50:00,40000,구의동,리젠트오피스텔건너편,주차금지(황색점선)구역,미견인
2022-01-01 11:50:00,40000,광장동,서울 광진구 광장동 381-80,교통소통장애,미견인
2022-01-01 11:51:00,40000,광장동,서울 광진구 광장동 381-80,교통소통장애,미견인
2022-01-01 11:52:00,40000,광장동,서울 광진구 광장동 381-80,교통소통장애,미견인
2022-01-01 11:53:00,40000,광장동,서울 광진구 광장동 381-80,교통소통장애,미견인
2022-01-01 11:54:00,40000,광장동,서울 광진구 광장동 381-49,교통소통장애,미견인
2022-01-01 11:55:00,40000,광장동,서울 광진구 광장동 381-49,교통소통장애,미견인
2022-01-01 11:55:00,40000,광장동,서울 광진구 광장동 381-49,교통소통장애,미견인
2022-01-01 12:08:00,40000,자양동,서울특별시 광진구 뚝섬로22가길 9,교통소통장애,미견인
2022-01-01 12:40:00,40000,구의동,서울 광진구 구의동 220-41,교통소통장애,미견인
2022-01-01 12:41:00,40000,구의동,서울 광진구 구의동 220-41,교통소통장애,미견인
2022-01-01 12:43:00,40000,구의동,서울 광진구 구의동 220-41,교통소통장애,미견인
2022-01-01 13:49:00,40000,구의동,리젠트오피스텔건너편,안전지대,미견인
2022-01-01 14:35:00,40000,광장동,187-13,버스정류소,미견인
2022-01-01 14:40:00,40000,자양동,서울특별시 광진구 자양번영로 11,도로 모퉁이,견인처리
2022-01-01 14:47:00,40000,자양동,서울 광진구 자양동 200,교통소통장애,미견인
2022-01-01 14:53:00,40000,구의동,강변역 4번 출구,주차금지(황색점선)구역,미견인
2022-01-01 14:55:00,40000,자양동,서울 광진구 자양동 8-5,교통소통장애,미견인
2022-01-01 14:55:00,40000,자양동,서울특별시 광진구 동일로20길 56,교통소통장애,미견인
2022-01-01 14:56:00,40000,자양동,서울특별시 광진구 동일로20길 56,교통소통장애,미견인
2022-01-01 15:05:00,40000,구의동,리젠트오피스텔건너편,소화전,미견인
2022-01-01 15:14:00,40000,구의동,"서울 광진구 천호대로132길 27 (구의동, 현대아트빌라)",소화전,미견인
2022-01-01 15:22:00,40000,구의동,서울특별시 광진구 영화사로 68,보도,미견인
2022-01-01 15:23:00,40000,구의동,서울 광진구 구의동 550,도로 모퉁이,미견인
2022-01-01 15:25:00,50000,구의동,서울특별시 광진구 영화사로 67,도로 모퉁이,미견인
2022-01-01 15:26:00,40000,구의동,서울특별시 광진구 영화사로 67,보도,미견인
2022-01-01 15:27:00,40000,중곡동,서울 광진구 중곡동 106-33,도로 모퉁이,미견인
2022-01-01 15:28:00,40000,중곡동,서울특별시 광진구 영화사로9길 52,교통소통장애,미견인
